JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
41,zhouyuan,1578481223937,33d6d3f5b3234f193bfc78247fc8fd36a7ac9dc9,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
42,zhouyuan,1578552792667,4de60bf66785f6b5ad16206dadec4a1cc95f3bc9,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
43,zhouyuan,1578561201503,a308a28e07e87ea2b946a1761b85f57222b9927c,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
44,zhouyuan,1578566443535,bf1e21d48c7657e1250e6f5e0b233c1c2a9f2188,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
45,zhouyuan,1578570705080,9adacbea3ecfd7f427f03d59315c36d6f1cae942,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
46,zhouyuan,1578626030212,dd56803f759bacbef6eae94844e55a3758246c7d,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
47,zhouyuan,1578627238519,a56ea559ffc439bb2cc31811f675d70fe829a800,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
48,zhouyuan,1578633251939,7f65fd271c0061dfeceed589f547e215d2c4bf5e,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
49,zhouyuan,1578637615958,d9f34c805102e04e4f3cd85757787fdf0ba4aa08,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
50,sagittarius,1578653437485,ca3169e0acb9213e71d00d8b4afdc850073b8700,origin/release/v1.0.5,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
51,zhouyuan,1579060505944,843cee3142b0ef0bef030a5421224c7dd1620443,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
