JOB_NUMBER,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
87,74c70423c1a14a80faedbcf08304672a96ac28b8,origin/lua,ios,debug,1.0.7,test,upload_patch,undefined,,undefined,undefined,undefined,undefined,undefined
88,09d1340475d4ce6429ab5fcf05c43260afe263f2,origin/lua,ios,debug,1.0.7,test,upload_patch,undefined,,undefined,undefined,undefined,undefined,undefined
89,16060da0e92615027c12cb1ff98d3853d8eed84e,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,undefined,undefined,undefined,undefined,undefined
103,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
104,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
105,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
106,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
107,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
108,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
109,2d9d96ad1c5b9789ba0730f62a50ef5c2bfaf461,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
110,09255b462625338b630b040c20e35421f719db10,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
111,09255b462625338b630b040c20e35421f719db10,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
